CircleID,SiteFK,Latitude,Longitude,LitterDepthmm,PercentCanopyCover,HerbCoverEstimate,DistanceToEdgem
DF1,DF,35.981755,-79.017955,20,85,2,430.45357533032
DF2,DF,35.982229,-79.017697,40,79,1,483.30576479397564
DF3,DF,35.983154999999996,-79.017739,25,80,1,585.9990223146681
DF4,DF,35.983989,-79.017566,25,86,2,678.7050374560984
DF5,DF,35.984921,-79.015119,10,81,2,769.8953057308482
ERSP1,ERSP,36.074203,-79.007574,15,82,1,126.59112595622436
ERSP2,ERSP,36.074701,-79.007121,20,77,3,130.68772546445325
ERSP3,ERSP,36.075232,-79.007482,40,83,1,167.26550566475711
ERSP4,ERSP,36.075972,-79.008085,15,69,3,190.81172019801502
ERSP6,ERSP,36.077407,-79.009062,40,75,3,148.40066918558756
JMNP1,JMNP,35.990025,-79.04989,20,77,2,160.54570337104852
JMNP2,JMNP,35.989724,-79.048918,25,79,1,81.04497938580937
JMNP3,JMNP,35.988467,-79.049569,40,77,1,145.50922339739722
JMNP5,JMNP,35.989987,-79.048323,30,89,2,22.595133304490364
JMNP8,JMNP,35.992616,-79.049606,25,77,2,202.61536129108492
NCBG1,NCBG,35.899412,-79.030799,15,71,3,156.65944214954482
NCBG4,NCBG,35.898078,-79.030654,25,79,2,234.585126219791
NCBG5,NCBG,35.897443,-79.031929,30,78,1,149.16253701284646
NCBG6,NCBG,35.896966,-79.032681,40,83,1,116.58187504807711
NCBG8,NCBG,35.8981,-79.032421,25,77,2,79.39693198952455
NCSU2,NCSU,35.788713,-78.674294,10,86,3,23.808753332942047
NCSU3,NCSU,35.788509,-78.672804,10,87,1,14.321136160357694
NCSU9,NCSU,35.784931,-78.676303,5,84,1,41.963103182113855
NCSU10,NCSU,35.781277,-78.670547,25,83,1,113.23067592498849
NCSU11,NCSU,35.781556,-78.670766,50,81,1,80.09502191311569
UNC3,UNC,35.907494,-79.050079,30,85,1,34.87303130925793
UNC4,UNC,35.907536,-79.049808,10,43,4,17.80981488958885
UNC8,UNC,35.908564,-79.049918,50,85,4,7.714799279772514
UNC13,UNC,35.908099,-79.049339,40,93,2,29.372139319330028
UNC14,UNC,35.909071,-79.04841,30,64,1,23.950940937253474
